Date and Time,Potentiometer %,Distance
2023-07-26 22:57:59.241,NaN,2.45
2023-07-26 22:57:59.339,NaN,2.44
2023-07-26 22:57:59.434,NaN,2.29
2023-07-26 22:57:59.530,NaN,2.44
2023-07-26 22:57:59.627,NaN,2.44
2023-07-26 22:57:59.643,5.42,NaN
2023-07-26 22:57:59.722,NaN,1.79
2023-07-26 22:57:59.820,NaN,1.78
2023-07-26 22:57:59.917,NaN,1.8
2023-07-26 22:58:00.014,NaN,1.78
2023-07-26 22:58:00.111,NaN,1.8
2023-07-26 22:58:00.142,6.5,NaN
2023-07-26 22:58:00.208,NaN,1.77
2023-07-26 22:58:00.305,NaN,1.78
2023-07-26 22:58:00.402,NaN,1.79
2023-07-26 22:58:00.499,NaN,1.81
2023-07-26 22:58:00.596,NaN,1.8
2023-07-26 22:58:00.642,6.5,NaN
2023-07-26 22:58:00.693,NaN,1.78
2023-07-26 22:58:00.795,NaN,1.79
2023-07-26 22:58:00.903,NaN,1.79
