Date and Time,Potentiometer %,Distance
2023-07-26 22:57:55.308,NaN,2.59
2023-07-26 22:57:55.406,NaN,2.45
2023-07-26 22:57:55.503,NaN,2.44
2023-07-26 22:57:55.600,NaN,2.45
2023-07-26 22:57:55.697,NaN,2.45
2023-07-26 22:57:55.710,5.42,NaN
2023-07-26 22:57:55.794,NaN,2.46
2023-07-26 22:57:55.892,NaN,2.44
2023-07-26 22:57:55.990,NaN,2.44
2023-07-26 22:57:56.088,NaN,2.45
2023-07-26 22:57:56.186,NaN,1.79
2023-07-26 22:57:56.211,5.52,NaN
2023-07-26 22:57:56.283,NaN,1.85
2023-07-26 22:57:56.382,NaN,1.8
2023-07-26 22:57:56.480,NaN,1.8
2023-07-26 22:57:56.579,NaN,1.79
2023-07-26 22:57:56.677,NaN,1.8
2023-07-26 22:57:56.714,5.42,NaN
2023-07-26 22:57:56.775,NaN,1.83
2023-07-26 22:57:56.875,NaN,1.8
2023-07-26 22:57:56.973,NaN,1.79
2023-07-26 22:57:57.071,NaN,2.45
2023-07-26 22:57:57.178,NaN,2.44
2023-07-26 22:57:57.223,3.76,NaN
2023-07-26 22:57:57.299,NaN,2.44
2023-07-26 22:57:57.416,NaN,2.45
2023-07-26 22:57:57.535,NaN,2.45
2023-07-26 22:57:57.648,NaN,2.45
2023-07-26 22:57:57.756,3.76,NaN
2023-07-26 22:57:57.792,NaN,2.46
2023-07-26 22:57:57.910,NaN,2.45
2023-07-26 22:57:58.028,NaN,2.45
2023-07-26 22:57:58.151,NaN,2.45
2023-07-26 22:57:58.291,NaN,2.46
2023-07-26 22:57:58.330,3.66,NaN
2023-07-26 22:57:58.428,NaN,2.44
2023-07-26 22:57:58.549,NaN,2.45
2023-07-26 22:57:58.670,NaN,2.44
2023-07-26 22:57:58.785,NaN,2.46
2023-07-26 22:57:58.852,3.66,NaN
2023-07-26 22:57:58.899,NaN,2.5
2023-07-26 22:57:59.018,NaN,2.44
2023-07-26 22:57:59.121,NaN,2.44
