Date and Time,Potentiometer %,Distance
2023-07-26 09:38:29.889,NaN,3.31
2023-07-26 09:38:29.899,98.73,NaN
2023-07-26 09:38:29.991,NaN,3.3
2023-07-26 09:38:30.003,99.22,NaN
2023-07-26 09:38:30.092,NaN,3.33
2023-07-26 09:38:30.108,99.32,NaN
2023-07-26 09:38:30.193,NaN,3.33
2023-07-26 09:38:30.213,99.12,NaN
2023-07-26 09:38:30.294,NaN,3.3
2023-07-26 09:38:30.319,99.12,NaN
2023-07-26 09:38:30.397,NaN,3.96
2023-07-26 09:38:30.426,98.83,NaN
2023-07-26 09:38:30.501,NaN,3.31
2023-07-26 09:38:30.533,99.22,NaN
2023-07-26 09:38:30.602,NaN,3.96
2023-07-26 09:38:30.644,98.83,NaN
2023-07-26 09:38:30.704,NaN,3.97
2023-07-26 09:38:30.751,99.02,NaN
2023-07-26 09:38:30.806,NaN,3.32
2023-07-26 09:38:30.858,98.63,NaN
2023-07-26 09:38:30.908,NaN,3.32
2023-07-26 09:38:30.964,98.83,NaN
2023-07-26 09:38:31.010,NaN,3.97
2023-07-26 09:38:31.070,98.83,NaN
2023-07-26 09:38:31.113,NaN,3.95
2023-07-26 09:38:31.176,99.02,NaN
2023-07-26 09:38:31.218,NaN,3.3
2023-07-26 09:38:31.283,99.32,NaN
2023-07-26 09:38:31.319,NaN,3.98
2023-07-26 09:38:31.389,98.63,NaN
2023-07-26 09:38:31.425,NaN,3.3
2023-07-26 09:38:31.494,99.32,NaN
2023-07-26 09:38:31.528,NaN,3.97
2023-07-26 09:38:31.601,99.12,NaN
2023-07-26 09:38:31.633,NaN,3.98
2023-07-26 09:38:31.705,98.93,NaN
2023-07-26 09:38:31.737,NaN,3.96
2023-07-26 09:38:31.809,98.53,NaN
2023-07-26 09:38:31.840,NaN,3.96
2023-07-26 09:38:31.914,98.63,NaN
2023-07-26 09:38:31.950,NaN,3.97
2023-07-26 09:38:32.018,98.93,NaN
2023-07-26 09:38:32.056,NaN,3.97
2023-07-26 09:38:32.123,98.73,NaN
2023-07-26 09:38:32.160,NaN,3.32
2023-07-26 09:38:32.226,99.12,NaN
2023-07-26 09:38:32.263,NaN,3.31
2023-07-26 09:38:32.332,98.83,NaN
2023-07-26 09:38:32.368,NaN,3.8
2023-07-26 09:38:32.437,99.12,NaN
2023-07-26 09:38:32.472,NaN,3.96
2023-07-26 09:38:32.545,99.12,NaN
2023-07-26 09:38:32.576,NaN,3.97
2023-07-26 09:38:32.649,98.83,NaN
2023-07-26 09:38:32.679,NaN,3.8
2023-07-26 09:38:32.754,99.22,NaN
2023-07-26 09:38:32.784,NaN,3.96
2023-07-26 09:38:32.859,98.83,NaN
2023-07-26 09:38:32.891,NaN,3.98
2023-07-26 09:38:32.963,98.63,NaN
2023-07-26 09:38:32.993,NaN,3.98
