Date and Time,Potentiometer %,Distance
2023-07-26 21:50:07.935,NaN,59.19
2023-07-26 21:50:08.038,NaN,58.87
2023-07-26 21:50:08.138,NaN,59.18
2023-07-26 21:50:08.238,NaN,58.88
2023-07-26 21:50:08.339,NaN,58.87
2023-07-26 21:50:08.345,39.33,NaN
2023-07-26 21:50:08.439,NaN,57.95
2023-07-26 21:50:08.541,NaN,58.28
2023-07-26 21:50:08.642,NaN,59.21
2023-07-26 21:50:08.744,NaN,59.2
2023-07-26 21:50:08.845,NaN,58.26
2023-07-26 21:50:08.852,40.11,NaN
2023-07-26 21:50:08.947,NaN,58.26
2023-07-26 21:50:09.048,NaN,58.29
2023-07-26 21:50:09.150,NaN,57.94
2023-07-26 21:50:09.251,NaN,58.28
2023-07-26 21:50:09.352,NaN,57.94
2023-07-26 21:50:09.359,39.91,NaN
2023-07-26 21:50:09.454,NaN,58.6
2023-07-26 21:50:09.555,NaN,58.59
2023-07-26 21:50:09.657,NaN,58.6
2023-07-26 21:50:09.758,NaN,58.27
2023-07-26 21:50:09.860,NaN,58.89
2023-07-26 21:50:09.867,39.42,NaN
2023-07-26 21:50:09.961,NaN,58.26
2023-07-26 21:50:10.063,NaN,58.29
2023-07-26 21:50:10.164,NaN,58.61
2023-07-26 21:50:10.266,NaN,58.26
2023-07-26 21:50:10.367,NaN,58.89
2023-07-26 21:50:10.374,39.42,NaN
2023-07-26 21:50:10.469,NaN,58.87
2023-07-26 21:50:10.570,NaN,59.82
2023-07-26 21:50:10.684,NaN,36.2
2023-07-26 21:50:10.808,NaN,36.33
2023-07-26 21:50:10.881,50.27,NaN
2023-07-26 21:50:10.920,NaN,36.21
