Date and Time,Potentiometer %,Distance
2023-07-26 22:58:01.017,NaN,1.8
2023-07-26 22:58:01.115,NaN,1.79
2023-07-26 22:58:01.212,NaN,1.79
2023-07-26 22:58:01.308,NaN,1.79
2023-07-26 22:58:01.405,NaN,1.78
2023-07-26 22:58:01.419,5.42,NaN
2023-07-26 22:58:01.501,NaN,1.79
2023-07-26 22:58:01.599,NaN,1.78
2023-07-26 22:58:01.696,NaN,1.79
2023-07-26 22:58:01.793,NaN,1.78
2023-07-26 22:58:01.891,NaN,1.8
2023-07-26 22:58:01.919,5.42,NaN
2023-07-26 22:58:01.988,NaN,2.89
2023-07-26 22:58:02.086,NaN,3.31
2023-07-26 22:58:02.184,NaN,5.93
2023-07-26 22:58:02.282,NaN,8.53
2023-07-26 22:58:02.380,NaN,11.01
2023-07-26 22:58:02.422,5.42,NaN
2023-07-26 22:58:02.478,NaN,12.42
2023-07-26 22:58:02.578,NaN,12.65
2023-07-26 22:58:02.680,NaN,64.6
2023-07-26 22:58:02.778,NaN,9.84
2023-07-26 22:58:02.880,NaN,59.23
2023-07-26 22:58:02.924,5.42,NaN
2023-07-26 22:58:02.982,NaN,59.22
2023-07-26 22:58:03.086,NaN,59.22
2023-07-26 22:58:03.188,NaN,59.21
2023-07-26 22:58:03.289,NaN,59.2
2023-07-26 22:58:03.391,NaN,59.86
2023-07-26 22:58:03.426,5.42,NaN
2023-07-26 22:58:03.493,NaN,61.72
2023-07-26 22:58:03.595,NaN,59.55
2023-07-26 22:58:03.697,NaN,61.42
2023-07-26 22:58:03.799,NaN,60.13
2023-07-26 22:58:03.901,NaN,62.07
2023-07-26 22:58:03.929,5.42,NaN
2023-07-26 22:58:04.003,NaN,60.46
2023-07-26 22:58:04.101,NaN,11.24
2023-07-26 22:58:04.199,NaN,10.77
2023-07-26 22:58:04.297,NaN,9.65
2023-07-26 22:58:04.395,NaN,9.18
2023-07-26 22:58:04.433,5.52,NaN
2023-07-26 22:58:04.493,NaN,10.55
2023-07-26 22:58:04.591,NaN,8.98
2023-07-26 22:58:04.689,NaN,10.52
2023-07-26 22:58:04.787,NaN,8.54
2023-07-26 22:58:04.885,NaN,8.54
2023-07-26 22:58:04.936,5.42,NaN
2023-07-26 22:58:04.983,NaN,10.76
2023-07-26 22:58:05.084,NaN,59.19
2023-07-26 22:58:05.186,NaN,59.56
2023-07-26 22:58:05.288,NaN,60.17
2023-07-26 22:58:05.390,NaN,59.55
2023-07-26 22:58:05.439,5.42,NaN
2023-07-26 22:58:05.492,NaN,59.53
2023-07-26 22:58:05.595,NaN,61.72
2023-07-26 22:58:05.697,NaN,60.82
2023-07-26 22:58:05.799,NaN,59.86
2023-07-26 22:58:05.902,NaN,60.8
2023-07-26 22:58:05.941,5.52,NaN
2023-07-26 22:58:06.004,NaN,60.53
2023-07-26 22:58:06.106,NaN,61.72
2023-07-26 22:58:06.208,NaN,60.45
2023-07-26 22:58:06.310,NaN,59.52
2023-07-26 22:58:06.412,NaN,60.14
2023-07-26 22:58:06.446,5.42,NaN
2023-07-26 22:58:06.514,NaN,60.47
2023-07-26 22:58:06.616,NaN,60.47
2023-07-26 22:58:06.718,NaN,60.46
2023-07-26 22:58:06.825,NaN,60.13
2023-07-26 22:58:06.927,NaN,59.23
2023-07-26 22:58:06.947,5.42,NaN
2023-07-26 22:58:07.031,NaN,59.22
2023-07-26 22:58:07.133,NaN,59.28
2023-07-26 22:58:07.235,NaN,60.49
2023-07-26 22:58:07.338,NaN,59.82
2023-07-26 22:58:07.440,NaN,60.13
2023-07-26 22:58:07.449,5.42,NaN
2023-07-26 22:58:07.542,NaN,59.83
2023-07-26 22:58:07.645,NaN,59.22
2023-07-26 22:58:07.746,NaN,59.2
2023-07-26 22:58:07.848,NaN,59.21
2023-07-26 22:58:07.950,NaN,60.8
2023-07-26 22:58:07.957,5.42,NaN
2023-07-26 22:58:08.052,NaN,59.21
2023-07-26 22:58:08.154,NaN,59.54
2023-07-26 22:58:08.256,NaN,60.48
2023-07-26 22:58:08.357,NaN,59.86
2023-07-26 22:58:08.459,NaN,60.5
2023-07-26 22:58:08.466,5.42,NaN
