Date and Time,Potentiometer %,Distance
2023-07-26 21:50:19.856,NaN,61.72
2023-07-26 21:50:19.965,NaN,61.71
2023-07-26 21:50:20.066,NaN,62.05
2023-07-26 21:50:20.166,NaN,61.72
2023-07-26 21:50:20.253,49.29,NaN
2023-07-26 21:50:20.267,NaN,61.74
2023-07-26 21:50:20.369,NaN,61.71
2023-07-26 21:50:20.471,NaN,60.81
2023-07-26 21:50:20.573,NaN,62.04
2023-07-26 21:50:20.674,NaN,61.12
2023-07-26 21:50:20.752,40.21,NaN
2023-07-26 21:50:20.776,NaN,62.02
2023-07-26 21:50:20.878,NaN,62.37
2023-07-26 21:50:20.979,NaN,59.86
2023-07-26 21:50:21.081,NaN,59.84
2023-07-26 21:50:21.183,NaN,58.92
2023-07-26 21:50:21.252,40.01,NaN
2023-07-26 21:50:21.284,NaN,60.41
2023-07-26 21:50:21.386,NaN,59.86
2023-07-26 21:50:21.488,NaN,59.54
2023-07-26 21:50:21.589,NaN,58.25
2023-07-26 21:50:21.690,NaN,58.28
2023-07-26 21:50:21.753,39.33,NaN
2023-07-26 21:50:21.792,NaN,57.94
2023-07-26 21:50:21.893,NaN,58.27
2023-07-26 21:50:21.994,NaN,57.95
2023-07-26 21:50:22.096,NaN,58.25
2023-07-26 21:50:22.197,NaN,58.25
2023-07-26 21:50:22.253,39.42,NaN
2023-07-26 21:50:22.298,NaN,59.2
2023-07-26 21:50:22.400,NaN,57.93
2023-07-26 21:50:22.501,NaN,57.94
2023-07-26 21:50:22.602,NaN,58.27
2023-07-26 21:50:22.704,NaN,58.28
2023-07-26 21:50:22.753,40.21,NaN
2023-07-26 21:50:22.805,NaN,57.95
2023-07-26 21:50:22.907,NaN,58.89
2023-07-26 21:50:23.008,NaN,58.26
2023-07-26 21:50:23.109,NaN,57.94
2023-07-26 21:50:23.210,NaN,41.17
2023-07-26 21:50:23.253,40.01,NaN
2023-07-26 21:50:23.311,NaN,57.96
2023-07-26 21:50:23.413,NaN,57.94
2023-07-26 21:50:23.513,NaN,40.85
2023-07-26 21:50:23.613,NaN,40.84
2023-07-26 21:50:23.713,NaN,40.84
2023-07-26 21:50:23.753,40.6,NaN
2023-07-26 21:50:23.813,NaN,40.85
2023-07-26 21:50:23.914,NaN,41.39
2023-07-26 21:50:24.014,NaN,40.84
2023-07-26 21:50:24.115,NaN,40.84
2023-07-26 21:50:24.219,NaN,41.07
2023-07-26 21:50:24.254,39.13,NaN
2023-07-26 21:50:24.323,NaN,58.84
2023-07-26 21:50:24.427,NaN,62.32
2023-07-26 21:50:24.529,NaN,62.64
2023-07-26 21:50:24.631,NaN,61.71
2023-07-26 21:50:24.733,NaN,62.64
2023-07-26 21:50:24.754,38.94,NaN
2023-07-26 21:50:24.834,NaN,62.99
2023-07-26 21:50:24.936,NaN,62.96
2023-07-26 21:50:25.038,NaN,62.38
