Date and Time,Potentiometer %,Distance
2023-07-26 23:07:22.721,NaN,6.78
2023-07-26 23:07:22.822,NaN,6.8
2023-07-26 23:07:22.920,NaN,6.81
2023-07-26 23:07:23.018,NaN,7.46
2023-07-26 23:07:23.115,NaN,7.45
2023-07-26 23:07:23.123,100.0,NaN
2023-07-26 23:07:23.213,NaN,5.91
2023-07-26 23:07:23.311,NaN,5.93
2023-07-26 23:07:23.409,NaN,3.97
2023-07-26 23:07:23.506,NaN,3.95
2023-07-26 23:07:23.604,NaN,3.96
2023-07-26 23:07:23.623,100.0,NaN
2023-07-26 23:07:23.702,NaN,3.97
2023-07-26 23:07:23.800,NaN,3.97
2023-07-26 23:07:23.899,NaN,3.98
2023-07-26 23:07:23.997,NaN,3.97
2023-07-26 23:07:24.095,NaN,3.96
2023-07-26 23:07:24.125,100.0,NaN
2023-07-26 23:07:24.198,NaN,3.97
2023-07-26 23:07:24.302,NaN,3.95
2023-07-26 23:07:24.403,NaN,3.96
2023-07-26 23:07:24.504,NaN,3.96
2023-07-26 23:07:24.606,NaN,3.96
2023-07-26 23:07:24.632,100.0,NaN
2023-07-26 23:07:24.708,NaN,3.98
2023-07-26 23:07:24.809,NaN,3.97
2023-07-26 23:07:24.909,NaN,3.97
2023-07-26 23:07:25.009,NaN,3.98
