Date and Time,Potentiometer %,Distance
2023-07-26 22:42:16.808,NaN,5.26
2023-07-26 22:42:16.905,NaN,5.27
2023-07-26 22:42:17.001,NaN,5.28
2023-07-26 22:42:17.097,NaN,5.28
2023-07-26 22:42:17.193,NaN,5.28
2023-07-26 22:42:17.209,6.2,NaN
2023-07-26 22:42:17.289,NaN,5.92
2023-07-26 22:42:17.386,NaN,5.93
2023-07-26 22:42:17.483,NaN,5.92
2023-07-26 22:42:17.580,NaN,5.94
2023-07-26 22:42:17.677,NaN,5.28
2023-07-26 22:42:17.708,7.08,NaN
2023-07-26 22:42:17.773,NaN,5.26
2023-07-26 22:42:17.870,NaN,5.26
2023-07-26 22:42:17.968,NaN,5.28
2023-07-26 22:42:18.077,NaN,5.27
2023-07-26 22:42:18.185,NaN,5.26
2023-07-26 22:42:18.213,7.18,NaN
2023-07-26 22:42:18.302,NaN,5.28
2023-07-26 22:42:18.410,NaN,5.94
