Date and Time,Potentiometer %,Distance
2023-07-26 22:34:08.779,NaN,5.5
2023-07-26 22:34:08.880,NaN,5.5
2023-07-26 22:34:08.977,NaN,5.49
2023-07-26 22:34:09.074,NaN,5.47
2023-07-26 22:34:09.171,NaN,5.49
2023-07-26 22:34:09.180,39.13,NaN
2023-07-26 22:34:09.268,NaN,5.49
2023-07-26 22:34:09.367,NaN,5.5
2023-07-26 22:34:09.465,NaN,5.47
2023-07-26 22:34:09.563,NaN,5.51
2023-07-26 22:34:09.661,NaN,5.5
2023-07-26 22:34:09.680,39.23,NaN
2023-07-26 22:34:09.759,NaN,5.5
2023-07-26 22:34:09.858,NaN,5.49
2023-07-26 22:34:09.956,NaN,5.5
2023-07-26 22:34:10.054,NaN,5.5
2023-07-26 22:34:10.152,NaN,5.49
2023-07-26 22:34:10.185,39.13,NaN
2023-07-26 22:34:10.251,NaN,5.48
2023-07-26 22:34:10.351,NaN,5.49
2023-07-26 22:34:10.449,NaN,5.5
2023-07-26 22:34:10.547,NaN,5.49
2023-07-26 22:34:10.645,NaN,5.48
2023-07-26 22:34:10.690,39.42,NaN
2023-07-26 22:34:10.744,NaN,5.48
2023-07-26 22:34:10.845,NaN,5.49
2023-07-26 22:34:10.944,NaN,5.5
2023-07-26 22:34:11.045,NaN,5.49
2023-07-26 22:34:11.145,NaN,5.47
2023-07-26 22:34:11.192,39.23,NaN
2023-07-26 22:34:11.243,NaN,5.48
2023-07-26 22:34:11.341,NaN,5.49
2023-07-26 22:34:11.440,NaN,5.49
2023-07-26 22:34:11.538,NaN,5.47
