Date and Time,Potentiometer %,Distance
2023-07-26 21:50:16.446,NaN,58.9
2023-07-26 21:50:16.550,NaN,58.94
2023-07-26 21:50:16.650,NaN,53.36
2023-07-26 21:50:16.751,NaN,53.7
2023-07-26 21:50:16.844,39.23,NaN
2023-07-26 21:50:16.858,NaN,53.68
2023-07-26 21:50:16.964,NaN,53.7
2023-07-26 21:50:17.065,NaN,53.7
2023-07-26 21:50:17.167,NaN,62.36
2023-07-26 21:50:17.269,NaN,60.52
2023-07-26 21:50:17.344,39.42,NaN
2023-07-26 21:50:17.371,NaN,60.2
2023-07-26 21:50:17.474,NaN,59.53
2023-07-26 21:50:17.576,NaN,62.98
2023-07-26 21:50:17.678,NaN,60.13
2023-07-26 21:50:17.784,NaN,NaN
2023-07-26 21:50:17.854,49.29,NaN
2023-07-26 21:50:17.912,NaN,NaN
2023-07-26 21:50:18.044,NaN,NaN
2023-07-26 21:50:18.164,NaN,NaN
2023-07-26 21:50:18.280,NaN,NaN
2023-07-26 21:50:18.375,49.68,NaN
2023-07-26 21:50:18.422,NaN,36.58
2023-07-26 21:50:18.555,NaN,NaN
2023-07-26 21:50:18.686,NaN,NaN
2023-07-26 21:50:18.809,NaN,NaN
2023-07-26 21:50:18.906,49.29,NaN
2023-07-26 21:50:18.946,NaN,36.12
2023-07-26 21:50:19.079,NaN,NaN
2023-07-26 21:50:19.208,NaN,NaN
2023-07-26 21:50:19.336,NaN,NaN
2023-07-26 21:50:19.428,49.19,NaN
2023-07-26 21:50:19.466,NaN,61.71
2023-07-26 21:50:19.591,NaN,36.22
2023-07-26 21:50:19.717,NaN,36.23
