Date and Time,Potentiometer %,Distance
2023-07-26 09:48:02.333,NaN,4.2
2023-07-26 09:48:02.400,NaN,2.67
2023-07-26 09:48:02.501,NaN,3.31
2023-07-26 09:48:02.601,NaN,2.66
2023-07-26 09:48:02.702,NaN,2.65
2023-07-26 09:48:02.789,98.44,NaN
2023-07-26 09:48:02.807,NaN,2.67
2023-07-26 09:48:02.909,NaN,2.67
2023-07-26 09:48:03.011,NaN,5.49
2023-07-26 09:48:03.113,NaN,3.33
2023-07-26 09:48:03.215,NaN,2.67
2023-07-26 09:48:03.291,98.83,NaN
2023-07-26 09:48:03.322,NaN,2.66
2023-07-26 09:48:03.423,NaN,2.66
2023-07-26 09:48:03.526,NaN,2.66
2023-07-26 09:48:03.627,NaN,2.65
2023-07-26 09:48:03.729,NaN,2.65
2023-07-26 09:48:03.797,98.83,NaN
2023-07-26 09:48:03.836,NaN,2.65
2023-07-26 09:48:03.938,NaN,2.67
2023-07-26 09:48:04.040,NaN,2.68
2023-07-26 09:48:04.142,NaN,2.67
2023-07-26 09:48:04.244,NaN,2.66
2023-07-26 09:48:04.300,98.73,NaN
2023-07-26 09:48:04.350,NaN,2.67
2023-07-26 09:48:04.452,NaN,2.64
2023-07-26 09:48:04.554,NaN,2.67
2023-07-26 09:48:04.658,NaN,2.67
2023-07-26 09:48:04.759,NaN,2.66
2023-07-26 09:48:04.805,98.34,NaN
2023-07-26 09:48:04.864,NaN,3.22
2023-07-26 09:48:04.965,NaN,2.65
2023-07-26 09:48:05.067,NaN,2.66
2023-07-26 09:48:05.169,NaN,2.66
2023-07-26 09:48:05.271,NaN,2.67
2023-07-26 09:48:05.312,98.63,NaN
2023-07-26 09:48:05.375,NaN,3.3
2023-07-26 09:48:05.476,NaN,2.66
2023-07-26 09:48:05.579,NaN,5.49
2023-07-26 09:48:05.682,NaN,5.47
2023-07-26 09:48:05.783,NaN,3.31
2023-07-26 09:48:05.819,98.53,NaN
2023-07-26 09:48:05.888,NaN,5.47
2023-07-26 09:48:05.989,NaN,5.48
2023-07-26 09:48:06.093,NaN,3.32
2023-07-26 09:48:06.194,NaN,2.67
2023-07-26 09:48:06.297,NaN,2.68
2023-07-26 09:48:06.324,98.44,NaN
2023-07-26 09:48:06.399,NaN,3.33
2023-07-26 09:48:06.501,NaN,5.47
2023-07-26 09:48:06.603,NaN,2.67
2023-07-26 09:48:06.705,NaN,3.3
2023-07-26 09:48:06.808,NaN,3.31
2023-07-26 09:48:06.829,98.53,NaN
2023-07-26 09:48:06.912,NaN,2.67
2023-07-26 09:48:07.015,NaN,4.61
2023-07-26 09:48:07.123,NaN,57.61
2023-07-26 09:48:07.225,NaN,57.62
2023-07-26 09:48:07.327,NaN,57.27
2023-07-26 09:48:07.336,98.53,NaN
2023-07-26 09:48:07.429,NaN,57.93
2023-07-26 09:48:07.531,NaN,57.32
2023-07-26 09:48:07.633,NaN,57.94
2023-07-26 09:48:07.734,NaN,57.02
2023-07-26 09:48:07.836,NaN,57.6
2023-07-26 09:48:07.841,98.53,NaN
2023-07-26 09:48:07.939,NaN,56.66
2023-07-26 09:48:08.041,NaN,57.61
2023-07-26 09:48:08.143,NaN,59.19
2023-07-26 09:48:08.245,NaN,58.61
2023-07-26 09:48:08.347,NaN,58.28
2023-07-26 09:48:08.347,98.53,NaN
2023-07-26 09:48:08.449,NaN,58.27
2023-07-26 09:48:08.552,NaN,58.87
2023-07-26 09:48:08.649,NaN,5.72
2023-07-26 09:48:08.751,NaN,3.55
2023-07-26 09:48:08.853,98.83,NaN
2023-07-26 09:48:08.853,NaN,7.02
2023-07-26 09:48:08.955,NaN,2.02
2023-07-26 09:48:09.057,NaN,7.88
2023-07-26 09:48:09.159,NaN,13.13
2023-07-26 09:48:09.260,NaN,5.72
2023-07-26 09:48:09.362,NaN,3.76
2023-07-26 09:48:09.362,98.63,NaN
2023-07-26 09:48:09.465,NaN,2.43
2023-07-26 09:48:09.567,NaN,2.45
2023-07-26 09:48:09.670,NaN,2.43
2023-07-26 09:48:09.772,NaN,2.44
2023-07-26 09:48:09.874,NaN,3.1
2023-07-26 09:48:09.875,98.53,NaN
2023-07-26 09:48:09.977,NaN,3.11
2023-07-26 09:48:10.079,NaN,4.4
2023-07-26 09:48:10.181,NaN,3.09
2023-07-26 09:48:10.283,NaN,3.74
2023-07-26 09:48:10.385,NaN,2.88
2023-07-26 09:48:10.385,98.63,NaN
2023-07-26 09:48:10.489,NaN,2.95
2023-07-26 09:48:10.591,NaN,2.89
2023-07-26 09:48:10.693,NaN,2.9
2023-07-26 09:48:10.795,NaN,4.4
2023-07-26 09:48:10.897,NaN,4.4
2023-07-26 09:48:10.898,98.83,NaN
2023-07-26 09:48:10.999,NaN,3.76
2023-07-26 09:48:11.101,NaN,3.75
2023-07-26 09:48:11.204,NaN,3.75
2023-07-26 09:48:11.307,NaN,3.1
2023-07-26 09:48:11.409,NaN,3.11
2023-07-26 09:48:11.410,98.83,NaN
2023-07-26 09:48:11.513,NaN,4.41
2023-07-26 09:48:11.617,NaN,3.75
2023-07-26 09:48:11.720,NaN,4.41
2023-07-26 09:48:11.823,NaN,3.75
2023-07-26 09:48:11.926,98.44,NaN
2023-07-26 09:48:11.926,NaN,4.4
2023-07-26 09:48:12.028,NaN,3.1
2023-07-26 09:48:12.131,NaN,3.75
2023-07-26 09:48:12.234,NaN,3.77
2023-07-26 09:48:12.337,NaN,3.76
2023-07-26 09:48:12.439,NaN,3.74
2023-07-26 09:48:12.439,98.53,NaN
2023-07-26 09:48:12.541,NaN,4.4
2023-07-26 09:48:12.644,NaN,3.75
2023-07-26 09:48:12.746,NaN,3.09
2023-07-26 09:48:12.848,NaN,3.74
2023-07-26 09:48:12.950,98.63,NaN
2023-07-26 09:48:12.950,NaN,3.1
2023-07-26 09:48:13.052,NaN,3.76
2023-07-26 09:48:13.155,NaN,3.11
2023-07-26 09:48:13.257,NaN,3.75
2023-07-26 09:48:13.359,NaN,3.74
2023-07-26 09:48:13.461,NaN,3.75
2023-07-26 09:48:13.461,98.53,NaN
2023-07-26 09:48:13.563,NaN,2.88
2023-07-26 09:48:13.667,NaN,2.89
2023-07-26 09:48:13.769,NaN,3.74
2023-07-26 09:48:13.871,NaN,3.73
2023-07-26 09:48:13.974,98.53,NaN
