Date and Time,Potentiometer %,Distance
2023-07-26 23:15:09.178,NaN,5.5
2023-07-26 23:15:09.274,NaN,5.49
2023-07-26 23:15:09.371,NaN,5.5
2023-07-26 23:15:09.467,NaN,5.5
2023-07-26 23:15:09.563,NaN,5.5
2023-07-26 23:15:09.579,100.0,NaN
2023-07-26 23:15:09.659,NaN,5.48
2023-07-26 23:15:09.756,NaN,5.48
2023-07-26 23:15:09.853,NaN,5.48
2023-07-26 23:15:09.950,NaN,5.48
2023-07-26 23:15:10.049,NaN,5.49
2023-07-26 23:15:10.080,99.9,NaN
2023-07-26 23:15:10.146,NaN,5.5
2023-07-26 23:15:10.243,NaN,5.5
2023-07-26 23:15:10.341,NaN,5.51
2023-07-26 23:15:10.438,NaN,5.49
2023-07-26 23:15:10.535,NaN,5.49
2023-07-26 23:15:10.581,100.0,NaN
2023-07-26 23:15:10.632,NaN,5.41
2023-07-26 23:15:10.732,NaN,5.49
