Date and Time,Potentiometer %,Distance
2023-07-26 23:15:19.589,NaN,4.85
2023-07-26 23:15:19.687,NaN,4.83
2023-07-26 23:15:19.783,NaN,4.85
2023-07-26 23:15:19.879,NaN,5.48
2023-07-26 23:15:19.974,NaN,5.49
2023-07-26 23:15:19.991,99.8,NaN
2023-07-26 23:15:20.070,NaN,5.5
2023-07-26 23:15:20.167,NaN,5.49
2023-07-26 23:15:20.265,NaN,5.49
2023-07-26 23:15:20.361,NaN,5.5
2023-07-26 23:15:20.458,NaN,5.47
2023-07-26 23:15:20.490,100.0,NaN
2023-07-26 23:15:20.555,NaN,5.49
2023-07-26 23:15:20.652,NaN,5.49
2023-07-26 23:15:20.749,NaN,5.5
2023-07-26 23:15:20.846,NaN,5.48
2023-07-26 23:15:20.943,NaN,5.5
2023-07-26 23:15:20.989,99.71,NaN
2023-07-26 23:15:21.040,NaN,5.48
2023-07-26 23:15:21.137,NaN,5.49
2023-07-26 23:15:21.234,NaN,5.5
2023-07-26 23:15:21.331,NaN,5.48
2023-07-26 23:15:21.428,NaN,5.49
