Date and Time,Potentiometer %,Distance
2023-07-26 23:07:09.246,NaN,5.93
2023-07-26 23:07:09.348,NaN,5.93
2023-07-26 23:07:09.448,NaN,5.27
2023-07-26 23:07:09.551,NaN,5.27
2023-07-26 23:07:09.656,NaN,5.92
2023-07-26 23:07:09.670,5.72,NaN
2023-07-26 23:07:09.767,NaN,5.91
2023-07-26 23:07:09.888,NaN,5.93
2023-07-26 23:07:10.023,NaN,6.03
2023-07-26 23:07:10.146,NaN,5.92
2023-07-26 23:07:10.194,5.81,NaN
2023-07-26 23:07:10.259,NaN,5.92
2023-07-26 23:07:10.382,NaN,5.94
2023-07-26 23:07:10.500,NaN,5.92
