Date and Time,Potentiometer %,Distance
2023-07-26 21:45:39.350,NaN,63.6
2023-07-26 21:45:39.453,NaN,62.58
2023-07-26 21:45:39.554,NaN,62.28
2023-07-26 21:45:39.656,NaN,62.61
2023-07-26 21:45:39.749,39.03,NaN
2023-07-26 21:45:39.764,NaN,62.94
2023-07-26 21:45:39.874,NaN,62.93
2023-07-26 21:45:39.976,NaN,62.6
2023-07-26 21:45:40.079,NaN,62.59
2023-07-26 21:45:40.182,NaN,62.92
2023-07-26 21:45:40.252,39.03,NaN
2023-07-26 21:45:40.285,NaN,62.92
2023-07-26 21:45:40.387,NaN,61.68
2023-07-26 21:45:40.490,NaN,62.6
2023-07-26 21:45:40.592,NaN,61.66
2023-07-26 21:45:40.695,NaN,61.98
2023-07-26 21:45:40.756,39.03,NaN
2023-07-26 21:45:40.798,NaN,60.75
2023-07-26 21:45:40.901,NaN,59.82
2023-07-26 21:45:41.003,NaN,59.49
2023-07-26 21:45:41.106,NaN,59.81
2023-07-26 21:45:41.208,NaN,61.07
2023-07-26 21:45:41.261,39.03,NaN
2023-07-26 21:45:41.310,NaN,61.06
2023-07-26 21:45:41.414,NaN,62.34
2023-07-26 21:45:41.516,NaN,61.71
2023-07-26 21:45:41.618,NaN,62.0
2023-07-26 21:45:41.720,NaN,62.0
2023-07-26 21:45:41.766,39.03,NaN
2023-07-26 21:45:41.822,NaN,62.0
2023-07-26 21:45:41.925,NaN,62.34
