Date and Time,Potentiometer %,Distance
2023-07-26 23:18:24.447,NaN,5.49
2023-07-26 23:18:24.546,NaN,5.5
2023-07-26 23:18:24.643,NaN,6.79
2023-07-26 23:18:24.742,NaN,7.45
2023-07-26 23:18:24.840,NaN,7.43
2023-07-26 23:18:24.849,99.32,NaN
2023-07-26 23:18:24.939,NaN,7.47
2023-07-26 23:18:25.039,NaN,7.45
2023-07-26 23:18:25.138,NaN,7.46
2023-07-26 23:18:25.238,NaN,7.45
2023-07-26 23:18:25.337,NaN,7.44
2023-07-26 23:18:25.351,99.71,NaN
2023-07-26 23:18:25.436,NaN,7.48
2023-07-26 23:18:25.536,NaN,7.46
