Date and Time,Potentiometer %,Distance
2023-07-26 23:07:11.584,NaN,6.58
2023-07-26 23:07:11.689,NaN,6.58
2023-07-26 23:07:11.788,NaN,6.56
2023-07-26 23:07:11.886,NaN,6.57
2023-07-26 23:07:11.985,NaN,6.57
2023-07-26 23:07:11.991,5.72,NaN
2023-07-26 23:07:12.082,NaN,6.58
2023-07-26 23:07:12.182,NaN,6.57
2023-07-26 23:07:12.282,NaN,6.57
2023-07-26 23:07:12.380,NaN,6.58
2023-07-26 23:07:12.485,NaN,6.59
2023-07-26 23:07:12.498,5.72,NaN
2023-07-26 23:07:12.589,NaN,7.24
2023-07-26 23:07:12.694,NaN,7.22
2023-07-26 23:07:12.793,NaN,5.94
2023-07-26 23:07:12.892,NaN,1.79
2023-07-26 23:07:12.990,NaN,2.01
2023-07-26 23:07:13.006,5.72,NaN
2023-07-26 23:07:13.088,NaN,2.45
2023-07-26 23:07:13.189,NaN,2.44
2023-07-26 23:07:13.288,NaN,2.45
2023-07-26 23:07:13.388,NaN,6.58
2023-07-26 23:07:13.486,NaN,6.59
2023-07-26 23:07:13.512,5.72,NaN
2023-07-26 23:07:13.585,NaN,7.24
2023-07-26 23:07:13.687,NaN,7.23
2023-07-26 23:07:13.788,NaN,7.24
2023-07-26 23:07:13.887,NaN,7.23
2023-07-26 23:07:13.986,NaN,6.6
2023-07-26 23:07:14.018,5.81,NaN
2023-07-26 23:07:14.086,NaN,7.24
2023-07-26 23:07:14.185,NaN,6.59
2023-07-26 23:07:14.284,NaN,7.24
2023-07-26 23:07:14.388,NaN,7.24
2023-07-26 23:07:14.494,NaN,6.58
2023-07-26 23:07:14.523,6.11,NaN
2023-07-26 23:07:14.599,NaN,5.05
2023-07-26 23:07:14.709,NaN,5.7
2023-07-26 23:07:14.807,NaN,5.05
2023-07-26 23:07:14.907,NaN,4.62
2023-07-26 23:07:15.007,NaN,4.64
2023-07-26 23:07:15.037,7.18,NaN
2023-07-26 23:07:15.107,NaN,7.9
