Date and Time,Potentiometer %,Distance
2023-07-26 22:42:18.519,NaN,5.93
2023-07-26 22:42:18.616,NaN,5.92
2023-07-26 22:42:18.711,NaN,5.91
2023-07-26 22:42:18.808,NaN,5.94
2023-07-26 22:42:18.904,NaN,5.94
2023-07-26 22:42:18.920,6.2,NaN
2023-07-26 22:42:19.000,NaN,5.94
2023-07-26 22:42:19.097,NaN,5.92
2023-07-26 22:42:19.194,NaN,5.93
2023-07-26 22:42:19.291,NaN,5.93
2023-07-26 22:42:19.388,NaN,5.93
2023-07-26 22:42:19.421,6.11,NaN
2023-07-26 22:42:19.485,NaN,5.92
2023-07-26 22:42:19.583,NaN,7.9
2023-07-26 22:42:19.679,NaN,3.76
2023-07-26 22:42:19.777,NaN,5.26
2023-07-26 22:42:19.873,NaN,5.93
2023-07-26 22:42:19.921,6.69,NaN
2023-07-26 22:42:19.970,NaN,3.96
2023-07-26 22:42:20.068,NaN,10.53
2023-07-26 22:42:20.165,NaN,6.8
2023-07-26 22:42:20.262,NaN,6.8
2023-07-26 22:42:20.360,NaN,6.81
2023-07-26 22:42:20.422,6.2,NaN
2023-07-26 22:42:20.457,NaN,6.81
2023-07-26 22:42:20.555,NaN,11.49
2023-07-26 22:42:20.653,NaN,4.61
2023-07-26 22:42:20.750,NaN,5.93
2023-07-26 22:42:20.848,NaN,15.71
2023-07-26 22:42:20.924,6.11,NaN
2023-07-26 22:42:20.949,NaN,59.87
2023-07-26 22:42:21.050,NaN,58.95
2023-07-26 22:42:21.152,NaN,60.82
2023-07-26 22:42:21.253,NaN,61.12
2023-07-26 22:42:21.354,NaN,59.89
2023-07-26 22:42:21.424,6.2,NaN
2023-07-26 22:42:21.456,NaN,58.96
2023-07-26 22:42:21.557,NaN,58.93
2023-07-26 22:42:21.658,NaN,59.54
2023-07-26 22:42:21.759,NaN,58.96
2023-07-26 22:42:21.860,NaN,58.95
2023-07-26 22:42:21.925,6.11,NaN
2023-07-26 22:42:21.962,NaN,59.86
2023-07-26 22:42:22.064,NaN,58.94
2023-07-26 22:42:22.165,NaN,58.29
2023-07-26 22:42:22.266,NaN,59.55
2023-07-26 22:42:22.367,NaN,58.29
2023-07-26 22:42:22.431,4.93,NaN
2023-07-26 22:42:22.477,NaN,NaN
2023-07-26 22:42:22.594,NaN,36.27
2023-07-26 22:42:22.717,NaN,36.32
2023-07-26 22:42:22.842,NaN,NaN
2023-07-26 22:42:22.949,6.2,NaN
2023-07-26 22:42:22.989,NaN,NaN
2023-07-26 22:42:23.106,NaN,NaN
2023-07-26 22:42:23.230,NaN,36.24
2023-07-26 22:42:23.354,NaN,36.25
2023-07-26 22:42:23.466,7.18,NaN
2023-07-26 22:42:23.486,NaN,58.93
