Date and Time,Potentiometer %,Distance
2023-07-26 21:50:01.971,NaN,63.08
2023-07-26 21:50:02.075,NaN,60.28
2023-07-26 21:50:02.176,NaN,59.54
2023-07-26 21:50:02.277,NaN,63.32
2023-07-26 21:50:02.367,39.33,NaN
2023-07-26 21:50:02.382,NaN,63.33
2023-07-26 21:50:02.489,NaN,63.43
2023-07-26 21:50:02.591,NaN,62.99
2023-07-26 21:50:02.693,NaN,63.0
2023-07-26 21:50:02.797,NaN,84.11
2023-07-26 21:50:02.867,39.42,NaN
2023-07-26 21:50:02.901,NaN,84.09
2023-07-26 21:50:03.007,NaN,63.3
2023-07-26 21:50:03.111,NaN,84.11
2023-07-26 21:50:03.214,NaN,83.78
2023-07-26 21:50:03.318,NaN,83.77
2023-07-26 21:50:03.368,39.23,NaN
2023-07-26 21:50:03.422,NaN,83.78
2023-07-26 21:50:03.527,NaN,84.12
2023-07-26 21:50:03.630,NaN,83.78
2023-07-26 21:50:03.734,NaN,10.76
2023-07-26 21:50:03.863,NaN,36.35
2023-07-26 21:50:03.886,39.42,NaN
2023-07-26 21:50:03.977,NaN,10.76
2023-07-26 21:50:04.098,NaN,10.76
2023-07-26 21:50:04.229,NaN,36.21
2023-07-26 21:50:04.356,NaN,NaN
2023-07-26 21:50:04.408,39.42,NaN
2023-07-26 21:50:04.482,NaN,36.35
2023-07-26 21:50:04.617,NaN,NaN
2023-07-26 21:50:04.737,NaN,84.1
