Date and Time,Potentiometer %,Distance
2023-07-26 23:07:45.944,NaN,7.45
2023-07-26 23:07:46.042,NaN,7.44
2023-07-26 23:07:46.138,NaN,7.44
2023-07-26 23:07:46.235,NaN,4.63
2023-07-26 23:07:46.331,NaN,3.97
2023-07-26 23:07:46.346,100.0,NaN
2023-07-26 23:07:46.428,NaN,3.98
2023-07-26 23:07:46.525,NaN,3.96
2023-07-26 23:07:46.623,NaN,3.98
2023-07-26 23:07:46.721,NaN,3.99
2023-07-26 23:07:46.819,NaN,3.95
2023-07-26 23:07:46.845,100.0,NaN
2023-07-26 23:07:46.916,NaN,3.97
2023-07-26 23:07:47.014,NaN,3.96
2023-07-26 23:07:47.112,NaN,3.97
2023-07-26 23:07:47.209,NaN,3.97
2023-07-26 23:07:47.307,NaN,3.97
2023-07-26 23:07:47.347,100.0,NaN
2023-07-26 23:07:47.405,NaN,3.96
2023-07-26 23:07:47.502,NaN,3.97
2023-07-26 23:07:47.600,NaN,3.96
2023-07-26 23:07:47.697,NaN,3.97
2023-07-26 23:07:47.795,NaN,3.97
2023-07-26 23:07:47.847,100.0,NaN
2023-07-26 23:07:47.893,NaN,3.96
2023-07-26 23:07:47.991,NaN,3.98
2023-07-26 23:07:48.089,NaN,3.98
2023-07-26 23:07:48.189,NaN,3.96
