Date and Time,Potentiometer %,Distance
2023-07-27 07:53:16.619,NaN,5.92
2023-07-27 07:53:16.716,NaN,5.92
2023-07-27 07:53:16.812,NaN,3.97
2023-07-27 07:53:16.908,NaN,3.98
2023-07-27 07:53:17.005,NaN,5.91
2023-07-27 07:53:17.020,97.07,NaN
2023-07-27 07:53:17.101,NaN,5.93
2023-07-27 07:53:17.198,NaN,5.92
2023-07-27 07:53:17.295,NaN,3.97
2023-07-27 07:53:17.393,NaN,3.96
2023-07-27 07:53:17.490,NaN,5.92
2023-07-27 07:53:17.521,97.56,NaN
2023-07-27 07:53:17.588,NaN,3.95
2023-07-27 07:53:17.685,NaN,5.27
2023-07-27 07:53:17.782,NaN,5.91
2023-07-27 07:53:17.879,NaN,5.92
2023-07-27 07:53:17.976,NaN,5.28
2023-07-27 07:53:18.021,97.17,NaN
2023-07-27 07:53:18.073,NaN,5.92
2023-07-27 07:53:18.171,NaN,5.94
2023-07-27 07:53:18.268,NaN,5.91
2023-07-27 07:53:18.365,NaN,5.92
2023-07-27 07:53:18.462,NaN,3.95
2023-07-27 07:53:18.522,96.97,NaN
2023-07-27 07:53:18.559,NaN,3.96
2023-07-27 07:53:18.657,NaN,5.92
2023-07-27 07:53:18.754,NaN,3.97
2023-07-27 07:53:18.852,NaN,3.98
2023-07-27 07:53:18.949,NaN,3.97
2023-07-27 07:53:19.025,96.87,NaN
2023-07-27 07:53:19.046,NaN,3.98
2023-07-27 07:53:19.143,NaN,3.96
2023-07-27 07:53:19.241,NaN,6.57
2023-07-27 07:53:19.338,NaN,5.71
2023-07-27 07:53:19.435,NaN,2.44
2023-07-27 07:53:19.526,97.07,NaN
2023-07-27 07:53:19.542,NaN,85.02
2023-07-27 07:53:19.653,NaN,36.21
2023-07-27 07:53:19.778,NaN,36.36
2023-07-27 07:53:19.907,NaN,36.23
2023-07-27 07:53:20.036,100.0,NaN
2023-07-27 07:53:20.071,NaN,36.26
2023-07-27 07:53:20.198,NaN,NaN
2023-07-27 07:53:20.318,NaN,36.36
2023-07-27 07:53:20.433,NaN,NaN
2023-07-27 07:53:20.558,NaN,NaN
2023-07-27 07:53:20.586,100.0,NaN
2023-07-27 07:53:20.677,NaN,36.33
2023-07-27 07:53:20.797,NaN,36.25
2023-07-27 07:53:20.922,NaN,36.21
2023-07-27 07:53:21.042,NaN,36.19
2023-07-27 07:53:21.105,100.0,NaN
2023-07-27 07:53:21.162,NaN,NaN
2023-07-27 07:53:21.286,NaN,38.11
2023-07-27 07:53:21.405,NaN,36.23
2023-07-27 07:53:21.539,NaN,36.23
2023-07-27 07:53:21.629,100.0,NaN
2023-07-27 07:53:21.653,NaN,85.02
