Date and Time,Potentiometer %,Distance
2023-07-26 23:18:16.530,NaN,6.94
2023-07-26 23:18:16.632,NaN,6.78
2023-07-26 23:18:16.731,NaN,6.78
2023-07-26 23:18:16.830,NaN,6.8
2023-07-26 23:18:16.929,NaN,6.8
2023-07-26 23:18:16.937,99.61,NaN
2023-07-26 23:18:17.027,NaN,6.82
2023-07-26 23:18:17.127,NaN,6.81
2023-07-26 23:18:17.228,NaN,6.79
2023-07-26 23:18:17.329,NaN,6.8
2023-07-26 23:18:17.429,NaN,6.8
2023-07-26 23:18:17.440,99.71,NaN
2023-07-26 23:18:17.530,NaN,6.76
2023-07-26 23:18:17.631,NaN,6.81
2023-07-26 23:18:17.731,NaN,6.8
2023-07-26 23:18:17.832,NaN,6.81
2023-07-26 23:18:17.933,NaN,6.81
2023-07-26 23:18:17.943,99.32,NaN
2023-07-26 23:18:18.034,NaN,6.81
