Date and Time,Potentiometer %,Distance
2023-07-26 21:23:55.911,NaN,62.65
2023-07-26 21:23:55.978,NaN,62.62
2023-07-26 21:23:56.079,NaN,62.63
2023-07-26 21:23:56.179,NaN,61.97
2023-07-26 21:23:56.279,NaN,59.8
2023-07-26 21:23:56.363,100.0,NaN
2023-07-26 21:23:56.387,NaN,60.11
2023-07-26 21:23:56.489,NaN,62.32
2023-07-26 21:23:56.590,NaN,61.37
2023-07-26 21:23:56.691,NaN,61.37
2023-07-26 21:23:56.793,NaN,61.39
2023-07-26 21:23:56.865,100.0,NaN
2023-07-26 21:23:56.902,NaN,59.79
2023-07-26 21:23:57.004,NaN,62.31
2023-07-26 21:23:57.105,NaN,61.38
2023-07-26 21:23:57.207,NaN,61.05
2023-07-26 21:23:57.308,NaN,60.46
2023-07-26 21:23:57.368,100.0,NaN
2023-07-26 21:23:57.411,NaN,59.81
2023-07-26 21:23:57.513,NaN,61.36
2023-07-26 21:23:57.614,NaN,59.79
2023-07-26 21:23:57.715,NaN,62.29
2023-07-26 21:23:57.818,NaN,83.82
2023-07-26 21:23:57.872,100.0,NaN
2023-07-26 21:23:57.920,NaN,62.32
2023-07-26 21:23:58.021,NaN,62.64
2023-07-26 21:23:58.124,NaN,83.49
2023-07-26 21:23:58.224,NaN,60.12
2023-07-26 21:23:58.325,NaN,62.38
2023-07-26 21:23:58.375,100.0,NaN
2023-07-26 21:23:58.428,NaN,83.77
2023-07-26 21:23:58.528,NaN,63.85
2023-07-26 21:23:58.631,NaN,83.47
2023-07-26 21:23:58.732,NaN,83.97
2023-07-26 21:23:58.834,NaN,83.79
2023-07-26 21:23:58.878,100.0,NaN
2023-07-26 21:23:58.937,NaN,83.44
2023-07-26 21:23:59.039,NaN,62.64
2023-07-26 21:23:59.141,NaN,62.31
2023-07-26 21:23:59.244,NaN,83.77
2023-07-26 21:23:59.346,NaN,83.66
2023-07-26 21:23:59.381,100.0,NaN
2023-07-26 21:23:59.447,NaN,62.66
2023-07-26 21:23:59.550,NaN,83.17
2023-07-26 21:23:59.649,NaN,63.24
2023-07-26 21:23:59.751,NaN,61.99
2023-07-26 21:23:59.852,NaN,59.76
2023-07-26 21:23:59.889,100.0,NaN
2023-07-26 21:23:59.956,NaN,62.33
2023-07-26 21:24:00.058,NaN,62.66
2023-07-26 21:24:00.159,NaN,62.64
2023-07-26 21:24:00.260,NaN,62.32
2023-07-26 21:24:00.361,NaN,62.01
2023-07-26 21:24:00.396,100.0,NaN
2023-07-26 21:24:00.463,NaN,59.79
2023-07-26 21:24:00.564,NaN,60.13
2023-07-26 21:24:00.666,NaN,62.3
2023-07-26 21:24:00.767,NaN,62.96
2023-07-26 21:24:00.868,NaN,59.8
2023-07-26 21:24:00.903,100.0,NaN
2023-07-26 21:24:00.973,NaN,60.12
2023-07-26 21:24:01.074,NaN,62.45
2023-07-26 21:24:01.177,NaN,83.78
2023-07-26 21:24:01.279,NaN,83.51
2023-07-26 21:24:01.378,NaN,61.05
2023-07-26 21:24:01.408,100.0,NaN
2023-07-26 21:24:01.482,NaN,83.78
