Date and Time,Potentiometer %,Distance
2023-07-26 21:50:11.036,NaN,61.74
2023-07-26 21:50:11.140,NaN,61.72
2023-07-26 21:50:11.241,NaN,61.11
2023-07-26 21:50:11.342,NaN,59.52
2023-07-26 21:50:11.433,39.42,NaN
2023-07-26 21:50:11.448,NaN,59.53
2023-07-26 21:50:11.550,NaN,59.84
2023-07-26 21:50:11.652,NaN,59.86
2023-07-26 21:50:11.754,NaN,59.85
2023-07-26 21:50:11.855,NaN,59.21
2023-07-26 21:50:11.933,39.23,NaN
2023-07-26 21:50:11.957,NaN,60.45
2023-07-26 21:50:12.063,NaN,61.39
2023-07-26 21:50:12.165,NaN,61.72
2023-07-26 21:50:12.267,NaN,60.81
2023-07-26 21:50:12.369,NaN,62.37
2023-07-26 21:50:12.435,39.42,NaN
2023-07-26 21:50:12.471,NaN,60.79
2023-07-26 21:50:12.575,NaN,53.38
2023-07-26 21:50:12.676,NaN,52.76
2023-07-26 21:50:12.778,NaN,54.02
2023-07-26 21:50:12.879,NaN,53.71
2023-07-26 21:50:12.935,39.42,NaN
2023-07-26 21:50:12.981,NaN,52.78
2023-07-26 21:50:13.082,NaN,52.78
2023-07-26 21:50:13.184,NaN,52.76
2023-07-26 21:50:13.285,NaN,52.78
2023-07-26 21:50:13.386,NaN,53.09
2023-07-26 21:50:13.438,39.13,NaN
2023-07-26 21:50:13.488,NaN,52.77
2023-07-26 21:50:13.589,NaN,53.1
2023-07-26 21:50:13.691,NaN,52.77
2023-07-26 21:50:13.792,NaN,53.38
2023-07-26 21:50:13.893,NaN,53.37
2023-07-26 21:50:13.941,39.42,NaN
2023-07-26 21:50:14.021,NaN,49.15
2023-07-26 21:50:14.147,NaN,36.23
2023-07-26 21:50:14.268,NaN,36.2
2023-07-26 21:50:14.400,NaN,NaN
2023-07-26 21:50:14.470,39.33,NaN
2023-07-26 21:50:14.536,NaN,36.62
2023-07-26 21:50:14.668,NaN,NaN
2023-07-26 21:50:14.790,NaN,NaN
2023-07-26 21:50:14.914,NaN,36.22
2023-07-26 21:50:14.992,40.21,NaN
2023-07-26 21:50:15.042,NaN,59.54
