Date and Time,Potentiometer %,Distance
2023-07-26 23:20:05.330,NaN,3.96
2023-07-26 23:20:05.427,NaN,3.95
2023-07-26 23:20:05.524,NaN,3.97
2023-07-26 23:20:05.620,NaN,3.97
2023-07-26 23:20:05.717,NaN,3.98
2023-07-26 23:20:05.731,99.8,NaN
2023-07-26 23:20:05.813,NaN,3.98
2023-07-26 23:20:05.910,NaN,3.05
2023-07-26 23:20:06.007,NaN,3.97
2023-07-26 23:20:06.104,NaN,3.97
2023-07-26 23:20:06.201,NaN,3.96
2023-07-26 23:20:06.232,99.41,NaN
2023-07-26 23:20:06.299,NaN,3.97
2023-07-26 23:20:06.396,NaN,3.98
2023-07-26 23:20:06.493,NaN,3.97
