Date and Time,Potentiometer %,Distance
2023-07-26 09:34:00.143,NaN,7.0
2023-07-26 09:34:00.205,NaN,7.02
2023-07-26 09:34:00.206,100.0,NaN
2023-07-26 09:34:00.307,NaN,7.02
2023-07-26 09:34:00.308,100.0,NaN
2023-07-26 09:34:00.408,NaN,4.19
2023-07-26 09:34:00.411,99.12,NaN
2023-07-26 09:34:00.509,NaN,4.19
2023-07-26 09:34:00.514,98.93,NaN
2023-07-26 09:34:00.610,NaN,4.18
2023-07-26 09:34:00.616,98.93,NaN
2023-07-26 09:34:00.711,NaN,4.19
2023-07-26 09:34:00.719,98.93,NaN
2023-07-26 09:34:00.813,NaN,4.19
2023-07-26 09:34:00.821,98.83,NaN
2023-07-26 09:34:00.914,NaN,4.18
2023-07-26 09:34:00.924,98.83,NaN
2023-07-26 09:34:01.016,NaN,4.18
2023-07-26 09:34:01.027,98.83,NaN
2023-07-26 09:34:01.117,NaN,4.18
2023-07-26 09:34:01.129,99.22,NaN
2023-07-26 09:34:01.218,NaN,4.17
2023-07-26 09:34:01.232,99.22,NaN
2023-07-26 09:34:01.319,NaN,4.19
2023-07-26 09:34:01.335,98.83,NaN
2023-07-26 09:34:01.420,NaN,4.18
2023-07-26 09:34:01.438,99.12,NaN
2023-07-26 09:34:01.522,NaN,4.18
2023-07-26 09:34:01.540,99.12,NaN
2023-07-26 09:34:01.623,NaN,4.18
2023-07-26 09:34:01.643,98.63,NaN
2023-07-26 09:34:01.724,NaN,4.17
2023-07-26 09:34:01.746,99.22,NaN
2023-07-26 09:34:01.825,NaN,4.17
2023-07-26 09:34:01.849,98.63,NaN
2023-07-26 09:34:01.926,NaN,4.18
2023-07-26 09:34:01.951,99.02,NaN
2023-07-26 09:34:02.027,NaN,4.19
2023-07-26 09:34:02.054,98.63,NaN
2023-07-26 09:34:02.128,NaN,4.18
2023-07-26 09:34:02.157,98.83,NaN
2023-07-26 09:34:02.229,NaN,4.17
2023-07-26 09:34:02.259,99.32,NaN
2023-07-26 09:34:02.330,NaN,4.17
2023-07-26 09:34:02.362,98.83,NaN
2023-07-26 09:34:02.432,NaN,4.18
2023-07-26 09:34:02.464,98.83,NaN
2023-07-26 09:34:02.533,NaN,4.16
2023-07-26 09:34:02.567,99.32,NaN
2023-07-26 09:34:02.634,NaN,4.18
2023-07-26 09:34:02.670,98.53,NaN
2023-07-26 09:34:02.735,NaN,4.2
2023-07-26 09:34:02.773,98.63,NaN
2023-07-26 09:34:02.836,NaN,4.17
2023-07-26 09:34:02.875,98.93,NaN
2023-07-26 09:34:02.937,NaN,4.19
2023-07-26 09:34:02.978,99.12,NaN
2023-07-26 09:34:03.039,NaN,4.18
2023-07-26 09:34:03.081,98.93,NaN
2023-07-26 09:34:03.140,NaN,4.18
2023-07-26 09:34:03.184,98.83,NaN
2023-07-26 09:34:03.241,NaN,4.2
2023-07-26 09:34:03.287,98.83,NaN
2023-07-26 09:34:03.342,NaN,4.17
2023-07-26 09:34:03.392,99.32,NaN
2023-07-26 09:34:03.443,NaN,4.18
2023-07-26 09:34:03.495,99.12,NaN
2023-07-26 09:34:03.544,NaN,4.2
2023-07-26 09:34:03.598,98.93,NaN
2023-07-26 09:34:03.645,NaN,4.18
2023-07-26 09:34:03.702,98.83,NaN
2023-07-26 09:34:03.746,NaN,4.17
2023-07-26 09:34:03.805,98.83,NaN
2023-07-26 09:34:03.847,NaN,4.19
2023-07-26 09:34:03.908,99.32,NaN
2023-07-26 09:34:03.949,NaN,4.17
