Date and Time,Potentiometer %,Distance
2023-07-26 23:08:50.862,NaN,6.15
2023-07-26 23:08:50.960,NaN,6.13
2023-07-26 23:08:51.057,NaN,6.79
2023-07-26 23:08:51.154,NaN,4.63
2023-07-26 23:08:51.251,NaN,3.97
2023-07-26 23:08:51.264,100.0,NaN
2023-07-26 23:08:51.348,NaN,3.97
2023-07-26 23:08:51.447,NaN,4.63
2023-07-26 23:08:51.545,NaN,3.97
2023-07-26 23:08:51.643,NaN,3.97
2023-07-26 23:08:51.741,NaN,3.96
2023-07-26 23:08:51.764,100.0,NaN
2023-07-26 23:08:51.839,NaN,3.96
2023-07-26 23:08:51.937,NaN,3.97
2023-07-26 23:08:52.035,NaN,3.95
