Date and Time,Potentiometer %,Distance
2023-07-26 21:47:44.072,NaN,62.33
2023-07-26 21:47:44.175,NaN,62.66
2023-07-26 21:47:44.276,NaN,62.31
2023-07-26 21:47:44.377,NaN,62.31
2023-07-26 21:47:44.469,39.13,NaN
2023-07-26 21:47:44.484,NaN,62.33
2023-07-26 21:47:44.591,NaN,62.32
2023-07-26 21:47:44.693,NaN,61.08
2023-07-26 21:47:44.796,NaN,59.53
2023-07-26 21:47:44.897,NaN,59.53
2023-07-26 21:47:44.969,39.23,NaN
2023-07-26 21:47:44.999,NaN,62.32
2023-07-26 21:47:45.101,NaN,61.98
2023-07-26 21:47:45.204,NaN,63.25
2023-07-26 21:47:45.306,NaN,62.64
2023-07-26 21:47:45.408,NaN,62.33
2023-07-26 21:47:45.470,39.23,NaN
2023-07-26 21:47:45.510,NaN,62.32
2023-07-26 21:47:45.613,NaN,61.74
2023-07-26 21:47:45.715,NaN,62.64
2023-07-26 21:47:45.816,NaN,62.34
2023-07-26 21:47:45.918,NaN,62.66
2023-07-26 21:47:45.973,39.33,NaN
2023-07-26 21:47:46.021,NaN,62.66
2023-07-26 21:47:46.124,NaN,62.64
2023-07-26 21:47:46.226,NaN,62.3
2023-07-26 21:47:46.328,NaN,62.3
2023-07-26 21:47:46.430,NaN,62.34
2023-07-26 21:47:46.476,39.13,NaN
2023-07-26 21:47:46.533,NaN,62.32
2023-07-26 21:47:46.636,NaN,62.65
2023-07-26 21:47:46.738,NaN,62.65
2023-07-26 21:47:46.840,NaN,62.66
2023-07-26 21:47:46.942,NaN,62.64
2023-07-26 21:47:46.979,39.42,NaN
2023-07-26 21:47:47.044,NaN,62.66
2023-07-26 21:47:47.146,NaN,62.65
2023-07-26 21:47:47.248,NaN,62.66
2023-07-26 21:47:47.350,NaN,62.65
2023-07-26 21:47:47.452,NaN,62.66
2023-07-26 21:47:47.484,39.33,NaN
2023-07-26 21:47:47.554,NaN,62.65
2023-07-26 21:47:47.657,NaN,62.64
2023-07-26 21:47:47.759,NaN,62.64
2023-07-26 21:47:47.861,NaN,62.33
